CODIGO,valor,grupo_vigente,patron,recomendacion,propuesta,razon
00-01-7162-46,"251-7968,232-5955",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7285-46,2320559-2320560,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7326-46,"238-4425,251-4792",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7728-46,2384648-2512449-2514657,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7744-46,238-4283/2384284,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7820-46,"2325732, 2320075, 2307014",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7821-46,"2325732, 2320075, 2307014",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7840-46,"2532566,2329566",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8031-46,2329664-2500774,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8035-46,22205283 2500774,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8098-46,2517748-2384159,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8526-46,232-1011 y 251-6422,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8675-46,22205283 2530023,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8678-46,22205283 2530023,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8773-46,2380864-2500509,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-8796-46,"22207754, 22207755",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-9207-46,"2868188, 2069210",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-9598-46,"66609219, 22305978",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-9599-46,"66609219, 22305978",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-9745-46,22327654-22306279,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-9836-46,22211863-22211864,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-02-0098-46,22067,numerico_longitud_incorrecta,numerico_longitud_5,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-02-8281-46,"2541037, 2541191",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-02-8427-46,55081344-57089673,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-02-8428-46,22881328 7089673,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-03-7607-46,22517920-22518076,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-03-8576-46,24712407-24720315,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-03-8581-46,4712407-4720315,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-03-9800-46,22321385-22323734,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-06-0060-46,22067,numerico_longitud_incorrecta,numerico_longitud_5,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-06-7601-46,"2892091,2890382",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-06-8459-46,22791315-16,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-06-9809-46,22894824-22881328,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-0272-46,5899624,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-07-2978-46,"24355424, 24314311",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-4325-46,2250522,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-07-4529-46,736617 Y 714495,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-7413-46,4738493-4739588,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-8442-46,5974265 FAX 5974263,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-8550-46,"4751244, 4751249",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-8593-46,"4739888, 4738983",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-8793-46,24392740-24392745-24311017,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-8956-46,439990 ESTX. 225-250,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-8966-46,4360630-4360637,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-9677-46,"24314989, 24310955",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-07-9678-46,"24314989, 24310955",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-09-0694-46,3615861,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-09-7372-46,23393249-50,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-09-8392-46,23605238-54,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-10-2523-46,23680906-5,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-10-7185-46,3326696 3629070 3629060,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-10-7186-46,"332-6696,362-9070,3629060",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-10-7534-46,23667821-22,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-10-8629-46,23335736 AL 40,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-11-8418-46,24731585-24745554,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-11-9211-46,4764442/43/38/30,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-12-0013-46,24712775-24405941,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-12-8656-46,"24712442, 24404722",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-13-0010-46,22692279-23314041,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-13-7903-46,"331-2247,332-4301 FAX 331-2247",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-13-8380-46,23606627-28,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-13-8870-46,24720151-3,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-13-9682-46,24720829-24720004,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-14-8943-46,23680708-23371824,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-14-8945-46,3680708-3371824,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-18-8750-46,"22852203, 22852205",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-19-8013-46,5972296-5926180,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-21-7974-46,24493119-24493733,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-21-7975-46,24493119-24493733,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-24-9632-46,22868188-52069210,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-01-0007-46,23661344-23661600,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-02-9748-46,66420121-66420111,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-03-9181-46,53060148 52192093,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-06-0061-46,5200537,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-06-9313-46,22898990-22868990,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-0032-46,24796595-96,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-0079-46,24333306-24342926,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-0094-46,24366554-55,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-1030-46,2437011,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-08-1042-46,499116237,numerico_longitud_incorrecta,numerico_longitud_9,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-08-1736-46,"5987951, 3088873",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-2889-46,225052,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-08-2891-46,22505,numerico_longitud_incorrecta,numerico_longitud_5,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-08-6584-46,24854408-24854398,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-6816-46,2981765-4831240,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-7590-46,"55987951, 53088873",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-7680-46,24374353 55980275,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-7692-46,5944312-5986774,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-7693-46,5944312-5986774,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-7770-46,5943821-5960117,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-7772-46,5943821-5960117,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-8354-46,24831196-97,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-8405-46,"4431414, 3109992",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-8406-46,"4431414, 3109992",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-8407-46,"4431414, 3109992",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-8559-46,2863760-8027980,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-8561-46,2863760-8027980,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-8742-46,24345193 24361224,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-9327-46,24328801-24329098,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-9328-46,24328801-24329098,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-9330-46,24328801-24329098,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-9332-46,24328801-24329098,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-9668-46,24314989-24310955,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-08-9713-46,24431649-24431650,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-10-9529-46,66302972-57250943-55017662,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-11-9475-46,55985805 56929038,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-13-0122-46,50160791-54845435,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-13-9630-46,66771152-56,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-14-0135-46,5510177,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-14-9844-46,66330748-52179627,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-15-0106-46,66532206-66353256,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-15-0520-46,6636790,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-15-7132-46,6361145- 6310279,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-15-7858-46,66313297-58964749,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-15-8676-46,6292082 6293622,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-15-8696-46,4432004 4430917,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
